208,1
408,1
508,1
608,1
570,1
508,1
208,1
408,1
508,1
608,1
570,1
508,1
608,1
570,1
508,1
608,1
570,1
508,1
208,1
408,1
508,1
608,1
208,2
508,1
608,1
208,2
508,1
508,1
708,1
508,1
408,2
308,2
308,2
208,2
170,2
208,2
208,1
308,1
408,1
508,1
208,2
608,1
408,1
108,2
8,2
608,1
208,2
608,1
508,1
208,2
8,2
308,2
708,1
608,1
608,1
208,2
608,1
508,1
208,2
708,1
308,2
708,1
608,1
408,1
508,1
570,1
608,1
208,2
608,1
508,1
208,2
708,1
308,2
708,1
608,1
408,1
408,1
470,1
408,1
370,1
470,1
508,1
708,1
208,2
408,2
